initial_state,full_control_sequence
"[0.12980255808047436, 0.30290303270794416, 0.0025276836481947784, -0.13506931250890525]","[ 0.82339998  0.13618734 -0.21540497 -0.38910127 -0.46253994 -0.47768759
 -0.45902892 -0.42158704 -0.37481311 -0.32467527]"
"[-0.1486118996204976, -0.02023839064712596, -0.004018349687315667, 0.1547892581253455]","[-0.50760229 -0.14777716  0.03654494  0.12964958  0.17203143  0.18508633
  0.18108039  0.1674564   0.14887098  0.1282618 ]"
"[0.19604652184580146, -0.1294352585345489, -0.07096655871021411, -0.025918402241152827]","[ 1.00000001  0.67922569  0.2401359  -0.00135436 -0.13181767 -0.19656331
 -0.22147192 -0.2223052  -0.20903865 -0.18809434]"
"[-0.20378618650894093, -0.10202174083413423, 0.01953514826324554, -0.1770581218027985]","[-0.02312016  0.09207027  0.14928876  0.17194233  0.17390345  0.16379824
  0.14712141  0.12739077  0.10683423  0.08682481]"
"[0.03767977469686379, 0.06771258669165725, -0.1027912302315081, -0.0074876741274411684]","[ 1.00000001  1.00000001  1.00000001  0.59161848 -0.02407699 -0.34884034
 -0.50859916 -0.57090758 -0.57505501 -0.54519816]"
"[0.1541467800124542, 0.0221411495260756, -0.056469451671031845, 0.12531180537554631]","[ 0.63728934  0.22959452  0.00724642 -0.11251791 -0.17218617 -0.19563806
 -0.19725194 -0.18606494 -0.16787394 -0.14640776]"
"[-0.1937061552815857, 0.1696851462325184, 0.020056567401000078, -0.1966041265370192]","[ 0.3801979   0.11169218 -0.02705918 -0.09966205 -0.1357457  -0.15053077
 -0.1525816  -0.14706253 -0.13722466 -0.12515638]"
"[0.22806095476956517, -0.2089070624804101, -0.10310771423399301, -0.08568867175518954]","[ 1.00000001  1.00000001  1.00000001  0.99999998  0.27512884 -0.13469447
 -0.34859402 -0.44793645 -0.47867546 -0.46854743]"
"[-0.1082885512560571, -0.006828880312024721, 0.081344320269828, -0.1608763241009961]","[-0.8822357  -0.36246328 -0.07414733  0.08574239  0.16996367  0.2081373
  0.21811574  0.21115473  0.19451356  0.17290028]"
"[-0.15600642216564756, 0.21034520610002716, 0.03328884407682829, -0.22686862295164245]","[ 0.33281094  0.05376288 -0.085813   -0.15478501 -0.18524388 -0.19365334
 -0.1892426  -0.17753987 -0.1619903  -0.14477523]"
