initial_state,first_control
[-0.11977185 -0.05960014 -0.01209962 -0.02226203],0.11741815531113688
[-0.12573186 -0.04040302 -0.01432582 -0.00390096],0.11912521301229738
[-0.12977216 -0.02184002 -0.01471592  0.00742093],0.1129207286538826
[-0.13195616 -0.0048471  -0.01397382  0.01386125],0.10232163446773719
"[-0.06546581546610286, -0.15401365707525866, 0.09357419151582667, 0.16858368521878675]",-1.000000009964061
[-0.08086718 -0.30799823  0.11043256  0.01277435],-1.0000000099385629
[-0.111667   -0.45467404  0.11170999 -0.08346093],-1.0000000099600395
[-0.15713441 -0.59833889  0.1033639  -0.16903916],-1.0000000099191915
[-0.2169683  -0.74161996  0.08645999 -0.27410543],-1.0000000093853323
[-0.29113029 -0.88681172  0.05904944 -0.4253622 ],-0.9597155676645103
[-0.37981146 -1.02936412  0.01651322 -0.63717099],0.12611633913099782
[-0.48274788 -0.98328776 -0.04720388 -0.4815109 ],0.6846597772146308
[-0.58107665 -0.85353837 -0.09535497 -0.2727161 ],0.951834528348627
[-0.66643049 -0.69044884 -0.12262658 -0.09851198],0.9999999768799942
